Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Income,Poverty,Unemployment,Employed,creditworthiness_score
59771,0,0.029689737,57,0,0.283244418,10121,7,0,1,0,0,103,Google Pixel 5,Android,174,2.5,929,37,565,32,Female,2,29317,34.1,13.4,17525,1
21363,0,0,57,0,0.14256225,7750,9,0,1,0,0,436,Xiaomi Mi 11,Android,105,3.4,798,21,467,34,Female,2,49448,8.5,3.3,3282,1
127325,0,0.036569165,48,0,0.236293951,6000,6,0,2,0,3,271,Xiaomi Mi 11,Android,426,6.5,1969,78,1266,53,Female,4,41617,20.4,8.7,10360,1
140510,0,1.018330787,41,0,0.163137729,4958,4,0,0,0,0,107,Google Pixel 5,Android,152,2.7,642,38,596,55,Male,2,21099,48,19.2,1882,1
144298,0,1.008799413,49,0,3942,,10,0,1,0,0,72,iPhone 12,iOS,521,9,2902,97,1701,37,Male,5,36860,26,6.5,10022,1
96371,0,0.798650169,34,0,0.295274271,8950,8,0,2,0,0,21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,2,76433,5.2,4.5,45522,1
49743,0,0.140158374,67,0,291,,6,0,0,0,0,615,Samsung Galaxy S21,Android,106,4,1158,23,493,18,Male,2,39480,18,8.2,17159,1
47390,0,0.04593505,78,0,0.007199177,5833,11,0,0,0,1,122,OnePlus 9,Android,529,8.7,2484,89,2189,39,Female,5,39205,17.7,7.8,4068,1
58379,0,0.301055343,54,0,0.255097258,8533,12,0,1,0,0,467,Samsung Galaxy S21,Android,414,7.3,2349,75,1092,51,Male,4,36385,22.3,6.6,5606,1
69048,0,0.133724418,44,0,0.259474278,6200,9,0,2,0,2,215,iPhone 12,iOS,152,3.3,1175,29,461,42,Female,2,55064,11,7.9,26899,1
41981,1,0.9999999,55,0,0.132851696,4982,1,1,0,0,0,331,Google Pixel 5,Android,233,4.6,1534,49,796,21,Female,3,57452,14.1,7.8,141106,1
88783,0,0,33,0,0.009175931,5666,9,0,0,0,0,459,iPhone 12,iOS,56,1,547,10,142,58,Female,1,28961,33.1,19.8,8382,1
70772,0,0.005545202,31,0,6,,2,0,0,0,0,88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,1,48601,13,2.9,9611,1
20217,0,0,44,0,0.608531437,4500,13,0,2,0,2,373,Samsung Galaxy S21,Android,511,10.9,2514,91,2335,59,Female,5,15860,53,17.4,9713,0
80725,0,0.881514811,62,0,0.489179104,2679,4,0,1,0,0,100,OnePlus 9,Android,225,5.5,1526,44,875,50,Female,3,68620,9.7,7.5,105953,1
96907,0,0.345982257,58,0,0.514371407,4000,6,0,1,0,0,664,Google Pixel 5,Android,469,6.4,1858,78,1297,55,Female,4,34084,15.5,8.3,3031,0
81422,0,0.074144247,74,0,0.009249377,5621,6,0,0,0,1,131,Google Pixel 5,Android,540,10.8,2923,90,1886,40,Male,5,49634,12.6,2.4,1294,1
109510,0,0.925082997,58,1,2200,,3,0,1,0,0,662,Xiaomi Mi 11,Android,138,3.1,947,29,545,48,Male,2,53584,12.2,8.3,21379,1
1877,0,0.508254824,47,0,0.58369593,7813,9,0,1,0,1,309,iPhone 12,iOS,285,5.1,1226,57,666,20,Female,3,60741,12,1.1,1673,1
46384,0,0.005455228,81,0,0.479004666,4500,17,0,2,0,0,344,iPhone 12,iOS,290,6,1533,54,645,57,Female,3,36831,23.8,9.2,5882,1
7488,1,0.419627554,63,1,0.438756124,10000,13,1,2,0,0,492,iPhone 12,iOS,152,3.7,948,22,507,53,Female,2,69098,6.5,5.2,40973,1
18049,0,0.004136176,41,0,0.472323285,7695,9,0,2,0,0,414,iPhone 12,iOS,270,5,1532,51,957,35,Male,3,42114,19.6,11.2,43685,1
29282,0,0.795932437,25,1,0.037756802,1800,3,0,0,0,0,386,iPhone 12,iOS,349,6.6,2041,78,1096,40,Female,4,56773,11,9.9,22979,0
