PolicyholderNumber,FirstPartyVehicleNumber,PolicyholderOccupation,FirstPolicySubscriptionDate,FirstPartyVehicleType,PolicyholderPostCode,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,PolicyHolderAge,FirstPartyLiability,ReferenceId,ThirdPartyVehicleNumber,InsurerNotes,LossDate,ClaimCause,ClaimInvolvedCovers,DamageImportance,ConnectionBetweenParties,LossPostCode,EasinessToStage,ClaimWithoutIdentifiedThirdParty,ClaimAmount,LossHour,NumberOfBodilyInjuries,Fraud
PH006844,V89073,Lawyer,2014-02-16,Motorcycle,75165,0,2,76,31,0.12158670692130569,REF006844,V34704,Total loss,2019-07-24,Fire,Liability,5,No,81328,0.6524467492231104,0,37246.77486083962,17,0,0.0
PH004230,V64262,Teacher,2011-09-14,Car,45809,1,1,97,67,0.6128703292341483,REF004230,V90822,Partial damage,2019-05-09,Vandalism,Collision,8,No,88724,0.6762610121883849,0,32925.571673757586,19,1,0.0
PH004845,V91142,Business,2015-10-11,Truck,42165,0,1,176,76,0.8719796498653919,REF004845,V78944,Partial damage,2019-09-29,Natural Disaster,Comprehensive,1,No,68441,0.8517701119490727,0,5817.9839553649135,22,0,0.0
PH004688,V37222,Engineer,2016-04-12,Car,82232,0,1,151,71,0.5007941956279404,REF004688,V28548,Theft reported,2020-11-02,Fire,Liability,9,No,44767,0.9266405354517352,0,48698.05313783,22,0,0.0
PH006863,V57210,Business,2012-06-27,SUV,85642,0,1,81,28,0.7719978670193591,REF006863,V68340,Partial damage,2019-09-06,Fire,Liability,8,No,46852,0.3535616250216891,0,38666.69393204722,4,0,0.0
PH006361,V82918,Lawyer,2012-06-02,Van,31625,0,1,231,45,0.741655465964048,REF006361,V56391,Partial damage,2019-08-06,Vandalism,Medical,8,No,94312,0.43159549448203294,0,32018.458300538896,21,0,0.0
PH000160,V33416,Doctor,2016-02-28,SUV,45794,0,2,159,43,0.6820962961818876,REF000160,V23274,Minor damage,2019-12-07,Theft,Collision,1,No,53747,0.9107796127165245,0,11427.562655338845,14,0,0.0
PH002323,V62505,Business,2018-08-24,Car,69087,0,1,34,62,0.8323407526848627,REF002323,V83307,Total loss,2020-06-24,Fire,Collision,5,No,24639,0.9102203154481469,0,4638.33562306984,15,0,0.0
PH009582,V67952,Other,2017-03-14,Van,47985,0,3,216,73,0.2627660684174483,REF009582,V81950,Theft reported,2020-03-11,Natural Disaster,Liability,5,No,66988,0.907035023003653,0,40507.320786202064,23,0,0.0
PH001537,V91490,Other,2020-03-03,Car,66525,1,2,28,79,0.646907479475444,REF001537,V57555,Theft reported,2020-03-17,Fire,Comprehensive,8,No,47417,0.471439615589344,0,35515.63201517352,0,0,0.0
PH004418,V88792,Business,2019-04-06,Truck,30620,0,1,167,72,0.8969529244327797,REF004418,V92578,Minor damage,2020-12-31,Accident,Comprehensive,3,No,28237,0.4724431123667415,1,13356.424793224449,0,0,0.0
PH001810,V65496,Teacher,2016-11-27,Motorcycle,70548,0,2,172,66,0.8145305128903224,REF001810,V90098,Theft reported,2020-05-12,Vandalism,Medical,3,No,76697,0.2933064698883122,0,40509.38799142471,15,0,0.0
PH003066,V50405,Business,2015-01-14,Truck,73001,1,4,97,44,0.3575529202133685,REF003066,V45377,Minor damage,2020-02-10,Accident,Comprehensive,5,No,24407,0.7107414025942898,0,685.9203006364846,18,0,0.0
PH004871,V10287,Doctor,2020-12-01,Car,54230,0,1,17,46,0.6714961040528069,REF004871,V71709,Total loss,2020-01-18,Vandalism,Collision,4,No,34573,0.764142749693821,0,11552.917916711245,20,0,0.0
PH004420,V39329,Teacher,2018-01-24,Truck,79269,1,1,170,46,0.41034139871521125,REF004420,V88360,Minor damage,2020-09-18,Theft,Liability,6,No,39190,0.5349484557769484,0,17198.864020266894,20,0,0.0
PH006642,V51771,Teacher,2015-08-07,Truck,16604,0,1,166,22,0.8520000229036462,REF006642,V23582,Minor damage,2019-05-08,Fire,Collision,8,No,67779,0.2768098985531109,0,40646.22916984512,1,0,0.0
PH004952,V48086,Engineer,2015-04-09,SUV,78034,1,3,42,51,0.3112299073293048,REF004952,V87483,Theft reported,2019-08-07,Vandalism,Medical,9,No,35357,0.46316750166440723,0,5336.60281382241,2,2,0.0
